Uniprot,Gene description,Organ,GO
Q03431,Parathyroid hormone 1 receptor,Kidney,GO:0016324;GO:0016323;GO:0005737;GO:0005634;GO:0005886;GO:0043235;GO:0008528;GO:0004991;GO:0017046;GO:0042803;GO:0007189;GO:0007188;GO:0030282;GO:0045453;GO:0048469;GO:0008283;GO:0007166;GO:0002062;GO:0007186;GO:0007187;GO:0001701;GO:0006874;GO:0008285;GO:0002076;GO:0007200;GO:0008284;GO:0060732;GO:0001501
Q9BZW2,Solute carrier family 13 member 1,Kidney,GO:0016324;GO:0005886;GO:0015373;GO:0015382;GO:0006814;GO:1902358;GO:0055085
Q9UHI7,Solute carrier family 23 member 1,Kidney,GO:0016324;GO:0009925;GO:0005737;GO:0070062;GO:0043229;GO:0005886;GO:0033300;GO:0008520;GO:0015229;GO:0015205;GO:0015081;GO:0015143;GO:0007420;GO:0070837;GO:0019852;GO:0015882;GO:0030324;GO:0015851;GO:0009636;GO:0006814
P48065,Solute carrier family 6 member 12,Kidney,GO:0016323;GO:0042995;GO:0016020;GO:0005886;GO:0098793;GO:0015171;GO:0005332;GO:0008028;GO:0006865;GO:0051936;GO:0015812;GO:0031460;GO:0015718;GO:0035725
O75264,Small integral membrane protein 24,Kidney,GO:0016020
A0PK05,Transmembrane protein 72,Kidney,GO:0016020
Q6UWM9,UDP glucuronosyltransferase family 2 member A3,Kidney,GO:0016020;GO:0015020;GO:0052695;GO:0008210
O43895,X-prolyl aminopeptidase 2,Kidney,GO:0070062;GO:0005576;GO:0016020;GO:0005886;GO:0098552;GO:0004177;GO:0046872;GO:0070006;GO:0006508
P00966,Argininosuccinate synthase 1,Kidney,GO:0070852;GO:0005737;GO:0005829;GO:0070062;GO:0005741;GO:0005654;GO:0043204;GO:0016597;GO:0004055;GO:0005524;GO:0042802;GO:0003723;GO:0015643;GO:0006953;GO:0000053;GO:0006531;GO:0071418;GO:0071230;GO:0071242;GO:0071320;GO:0071549;GO:0071377;GO:0071499;GO:0071222;GO:0071400;GO:0071356;GO:0071346;GO:0007623;GO:0000052;GO:0060539;GO:0001822;GO:0006526;GO:0001889;GO:0007494;GO:1903038;GO:0045429;GO:0032355;GO:0060416;GO:0010046;GO:0007584;GO:0009410;GO:0010043;GO:0000050
O75936,Gamma-butyrobetaine hydroxylase 1,Kidney,GO:0005829;GO:0070062;GO:0005739;GO:0008336;GO:0042802;GO:0005506;GO:0008270;GO:0045329
Q8WZ55,Barttin CLCNK type accessory subunit beta,Kidney,GO:0016323;GO:0005886;GO:0032991;GO:0005254;GO:0017081;GO:0006821;GO:0007605
