Uniprot,Gene description,Organ,GO
P08519,Lipoprotein(a),Liver,GO:0005576;GO:0005615;GO:0034358;GO:0034185;GO:0004175;GO:0004866;GO:0001968;GO:0008201;GO:0004252;GO:0005102;GO:0008015;GO:0006629;GO:0006869;GO:0006508
Q7Z5P4,Hydroxysteroid 17-beta dehydrogenase 13,Liver,GO:0005829;GO:0005783;GO:0005811;GO:0004745;GO:0004303;GO:0016616;GO:0016229;GO:0006629;GO:0046889
P04004,Vitronectin,Liver,GO:0071062;GO:0005604;GO:0072562;GO:0062023;GO:0005783;GO:0070062;GO:0005576;GO:0005615;GO:0005796;GO:0043231;GO:1904090;GO:0098637;GO:0048237;GO:0005518;GO:0050840;GO:0005201;GO:0008201;GO:0042802;GO:0005178;GO:0030247;GO:0005044;GO:0007155;GO:0033627;GO:0016477;GO:0007160;GO:0035987;GO:0030198;GO:0006955;GO:0097421;GO:0030195;GO:0010951;GO:0051918;GO:0048709;GO:0010811;GO:0050731;GO:0032092;GO:0048260;GO:0014911;GO:0030949;GO:0090303;GO:0051258;GO:0030155;GO:0061302
Q969I6,Solute carrier family 38 member 4,Liver,GO:0031528;GO:0005886;GO:0015655;GO:0015171;GO:0005283;GO:0015179;GO:0061459;GO:0005295;GO:0003333;GO:0006865;GO:1904273;GO:0015804
Q04756,HGF activator,Liver,GO:0005829;GO:0005576;GO:0005615;GO:0005791;GO:0004252;GO:0008236;GO:0007596;GO:0006508;GO:0031638
O00187,MBL associated serine protease 2,Liver,GO:0070062;GO:0005576;GO:0005615;GO:0005509;GO:0048306;GO:0001855;GO:0042802;GO:0008233;GO:0004252;GO:0006958;GO:0001867;GO:0006508
Q7Z2W7,Transient receptor potential cation channel subfamily M member 8,Liver,GO:0005789;GO:0009897;GO:0005886;GO:0044853;GO:0005262;GO:0042802;GO:0099604;GO:0046872;GO:0070588;GO:0006874;GO:0120162;GO:0009409;GO:0050955
P15169,Carboxypeptidase N subunit 1,Liver,GO:0005576;GO:0005615;GO:0004181;GO:0008270;GO:0010815;GO:0006518;GO:0030163;GO:0016485;GO:0051384
O14960,Leukocyte cell derived chemotaxin 2,Liver,GO:0005737;GO:0005615;GO:0042802;GO:0046872;GO:0006935;GO:0001501
Q9H221,ATP binding cassette subfamily G member 8,Liver,GO:0016324;GO:0043190;GO:0005886;GO:0043235;GO:0140359;GO:0005524;GO:0016887;GO:0042626;GO:0120020;GO:0046872;GO:0046982;GO:0033344;GO:0042632;GO:0030299;GO:0045796;GO:0010949;GO:0015914;GO:0014850;GO:0007584;GO:0009410;GO:0015918;GO:0055085;GO:0070328
