Uniprot,Gene description,Organ,GO
Q9BY11,Protein kinase C and casein kinase substrate in neurons 1,Brain,GO:0043679;GO:0030137;GO:0005737;GO:0030659;GO:0005829;GO:0005768;GO:0048471;GO:0098684;GO:0005886;GO:0098833;GO:0032587;GO:0045202;GO:0008092;GO:0042802;GO:0005543;GO:0007015;GO:0007010;GO:0045806;GO:0048812;GO:0097320;GO:1900006;GO:0072657;GO:0072659;GO:0030100;GO:0048488
A7MD48,Serine/arginine repetitive matrix 4,Brain,GO:0005634;GO:0042802;GO:0003729;GO:0030154;GO:0006397;GO:0007399;GO:0042551;GO:0000381;GO:0043484;GO:0008380;GO:0007605
Q6UW01,Cerebellin 3 precursor,Brain,GO:0005783;GO:0005615;GO:0005794;GO:0098688;GO:0045202;GO:0043083;GO:0099558
Q6UWT2,Energy homeostasis associated,Brain,GO:0005576;GO:0005886;GO:0005179;GO:0045747
Q9H4S2,GS homeobox 1,Brain,GO:0000785;GO:0005634;GO:0001228;GO:0000981;GO:0000978;GO:0043565;GO:1990837;GO:0021984;GO:0007417;GO:0021854;GO:0030182;GO:0048663;GO:0045944;GO:0021527;GO:0006366
Q9UBB6,Neurochondrin,Brain,GO:0005829;GO:0030425;GO:0010008;GO:0098978;GO:0016020;GO:0043025;GO:0043204;GO:0098794;GO:0045453;GO:0031175;GO:0048168;GO:0099149
Q9BWW7,Scratch family transcriptional repressor 1,Brain,GO:0016604;GO:0003700;GO:0000981;GO:0001227;GO:0046872;GO:0000978;GO:0000977;GO:0043565;GO:1990837;GO:0000122;GO:0006355;GO:2001222
Q16143,Synuclein beta,Brain,GO:0043679;GO:0005737;GO:0005829;GO:0016234;GO:0043025;GO:0005509;GO:1903136;GO:0004859;GO:0046914;GO:0007268;GO:0042417;GO:0043524;GO:0051402;GO:0050808;GO:0048488
Q8IVV8,Sodium/potassium transporting ATPase interacting 4,Brain,GO:0005886;GO:0002028
Q13516,Oligodendrocyte transcription factor 2,Brain,GO:0000785;GO:0005737;GO:0005634;GO:0000981;GO:0070888;GO:0071837;GO:0042802;GO:0046983;GO:1990837;GO:0061564;GO:0042552;GO:0045665;GO:0000122;GO:0048663;GO:0048714;GO:0045944;GO:0007423;GO:0021522;GO:0021530;GO:0021794
Q7L1I2,Synaptic vesicle glycoprotein 2B,Brain,GO:0001669;GO:0016020;GO:0005886;GO:0008021;GO:0030672;GO:0022857;GO:0007268;GO:0006836;GO:0099509;GO:2000300
Q9H2A9,Carbohydrate sulfotransferase 8,Brain,GO:0000139;GO:0016020;GO:0001537;GO:0008146;GO:0016051;GO:0007417;GO:0042446;GO:0030166;GO:0006790
Q9H2C1,LIM homeobox 5,Brain,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:1990837;GO:0008270;GO:0021846;GO:0021702;GO:0021937;GO:0021879;GO:0021766;GO:0007405;GO:0030182;GO:0045893;GO:1902692;GO:0006357;GO:0021527
Q8NFP4,MAM domain containing glycosylphosphatidylinositol anchor 1,Brain,GO:0030424;GO:0009986;GO:0030425;GO:0005576;GO:0005615;GO:0098982;GO:0005794;GO:0005886;GO:0098552;GO:0007420;GO:0021799;GO:1904862;GO:0007399;GO:0001764;GO:0099054;GO:1905606;GO:0099179;GO:0021527
Q13875,Myelin associated oligodendrocyte basic protein,Brain,GO:0005739;GO:0048471;GO:0019911;GO:0032289;GO:0007399
P20265,POU class 3 homeobox 2,Brain,GO:0000785;GO:0005654;GO:0005667;GO:0003677;GO:0001228;GO:0003700;GO:0000981;GO:0042802;GO:0000978;GO:1990837;GO:0021799;GO:0008544;GO:0021897;GO:0021869;GO:0021979;GO:0022011;GO:0010629;GO:0007399;GO:0061101;GO:0021985;GO:0048666;GO:0030182;GO:0048663;GO:0048665;GO:0008284;GO:0040018;GO:0045944;GO:0050770;GO:0045595;GO:0006357
Q6U841,Solute carrier family 4 member 10,Brain,GO:0097440;GO:0016324;GO:0043679;GO:0097441;GO:0016323;GO:0097442;GO:0030425;GO:0098982;GO:0016020;GO:0043025;GO:0043204;GO:0005886;GO:0098794;GO:0036477;GO:0045202;GO:0140892;GO:0008510;GO:0005452;GO:0015701;GO:0048854;GO:0006821;GO:0035641;GO:0035264;GO:0009791;GO:1902600;GO:0021860;GO:0051453;GO:0048172;GO:0009416;GO:0055085;GO:0007601
Q9H169,Stathmin 4,Brain,GO:0005737;GO:0005794;GO:0030426;GO:0043005;GO:0015631;GO:0007019;GO:0031175;GO:0031110
Q02246,Contactin 2,Brain,GO:0030424;GO:0043194;GO:0009986;GO:0044224;GO:0043209;GO:0043025;GO:0033268;GO:0005886;GO:0045211;GO:0098552;GO:0045202;GO:0030246;GO:0098632;GO:0007628;GO:0007411;GO:0007413;GO:0007155;GO:0022010;GO:0021853;GO:0045163;GO:0070593;GO:0051649;GO:0071206;GO:0045444;GO:0001973;GO:0007156;GO:0007612;GO:0000226;GO:0045665;GO:0060168;GO:0010954;GO:0097090;GO:0071205;GO:0016485;GO:0031623;GO:0002023;GO:0048710;GO:0031133;GO:0022604;GO:0048168;GO:0050808
O95196,Chondroitin sulfate proteoglycan 5,Brain,GO:0009986;GO:0005789;GO:0005576;GO:0098982;GO:0098978;GO:0005794;GO:0005796;GO:0000139;GO:0030660;GO:0043202;GO:0016020;GO:0005886;GO:0045211;GO:0045202;GO:0008083;GO:0031103;GO:0048858;GO:0007010;GO:0106091;GO:0046907;GO:0007399;GO:1900026;GO:2000300
