Uniprot,Gene description,Organ,GO
P0DTF9,PTTG1IP family member 2,Testis,GO:0016020
Q8IYX7,Stabilizer of axonemal microtubules 1,Testis,GO:0005879;GO:0005814;GO:0005813;GO:0036064;GO:0005856;GO:0031514;GO:0036126;GO:0008017;GO:0030030;GO:0070417;GO:0009631;GO:0045724;GO:0050821
Q8NA70,Family with sequence similarity 47 member B,Testis,
Q96KD3,Golgi associated RAB2 interactor 1B,Testis,GO:0005794;GO:0001675;GO:0007340
Q8WW18,Chromosome 17 open reading frame 50,Testis,
O95925,Epididymal peptidase inhibitor,Testis,GO:0001669;GO:0009986;GO:0005615;GO:0032991;GO:0097524;GO:0004867;GO:0042742;GO:0090281;GO:1901318;GO:0010466
Q5TZJ5,SPATA31 subfamily A member 1,Testis,GO:0016020;GO:0030154;GO:0007283
Q86XM0,Cation channel sperm associated auxiliary subunit delta,Testis,GO:0036128;GO:0005886;GO:0097228;GO:0030317;GO:0048240;GO:0007283
A4D1T9,Serine protease 37,Testis,GO:0001669;GO:0005615;GO:0005634;GO:0004252;GO:0007339;GO:0016477;GO:0008354;GO:2000344;GO:1905516;GO:0051604;GO:0006508;GO:0070613
P0C7M4,Rhox homeobox family member 2B,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:0010628;GO:0006357
O94993,SRY-box transcription factor 30,Testis,GO:0000785;GO:0010369;GO:0005737;GO:0005829;GO:0043231;GO:0005654;GO:0005634;GO:0008013;GO:0001228;GO:0000981;GO:0001227;GO:0000978;GO:1990837;GO:0000122;GO:0030178;GO:0045944;GO:0120211;GO:0006357;GO:0031960;GO:0007286
Q8IUE1,TGFB induced factor homeobox 2 like X-linked,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0001227;GO:0000978;GO:1990837;GO:0000122
Q96KX2,Capping actin protein of muscle Z-line subunit alpha 3,Testis,GO:0030863;GO:0005829;GO:0008290;GO:0016020;GO:0005634;GO:0061827;GO:0051015;GO:0030036;GO:0007015;GO:0051016;GO:0007028;GO:0007286
Q8N7E2,Cbl proto-oncogene like 2,Testis,GO:0005737;GO:0046872;GO:0061630;GO:0016567;GO:0030155
Q9Y5R6,Doublesex and mab-3 related transcription factor 1,Testis,GO:0000785;GO:0005737;GO:0001674;GO:0005634;GO:0003682;GO:0000987;GO:0001228;GO:0000981;GO:0042802;GO:0046872;GO:0000978;GO:1990837;GO:0000902;GO:0008354;GO:0035556;GO:0002176;GO:0030238;GO:0046661;GO:0007127;GO:0045835;GO:0000122;GO:0048599;GO:2000020;GO:0060903;GO:0045840;GO:0045944;GO:1900107;GO:0006357;GO:0060009;GO:0060008;GO:0007548;GO:0007283
P0DJD3,RNA binding motif protein Y-linked family 1 member A1,Testis,GO:0005730;GO:0005654;GO:0005681;GO:0003729;GO:0003723;GO:0006397;GO:0048026;GO:0000381;GO:0008380
Q9NS25,SPANX family member B1,Testis,GO:0005737;GO:0005634;GO:0007286
