Uniprot,GO
Q16572,GO:0030121;GO:0030122;GO:0030669;GO:0060201;GO:0005886;GO:0030672;GO:0043195;GO:0005277;GO:0005278;GO:0015311;GO:0051630;GO:0007268;GO:0006836;GO:0014057;GO:1900273;GO:1904398;GO:0051610
Q02318,GO:0005743;GO:0005759;GO:0005739;GO:0047748;GO:0031073;GO:0020037;GO:0005506;GO:0008395;GO:0030343;GO:0006699;GO:0036378;GO:0006707;GO:0008203;GO:0016125
Q86XU0,GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0006357
O43570,GO:0016324;GO:0016323;GO:0016020;GO:0005886;GO:0004089;GO:0008270;GO:0055064;GO:0044849;GO:0006730
Q71RH2,GO:0005783;GO:0005789;GO:0000139;GO:0050291;GO:0046513;GO:0055088;GO:0045599
Q6J272,GO:0160111;GO:0036064;GO:0005634;GO:0036126;GO:0030317
Q6PEX7,GO:0016020
Q6R2W3,GO:0005737;GO:0005634;GO:0003676;GO:0015074;GO:0045787;GO:0050679
Q9BWV7,GO:0036064;GO:0005524;GO:0046872;GO:0015631;GO:0070740;GO:0000226;GO:0036211
Q8IXW0,GO:0005638;GO:0030527
Q9NYG8,GO:0033268;GO:0005886;GO:0034705;GO:0042802;GO:0098782;GO:0046872;GO:0015271;GO:0005267;GO:0022841;GO:0097604;GO:0071468;GO:0071469;GO:1904551;GO:0071398;GO:0071260;GO:0071502;GO:0050976;GO:0007613;GO:0019228;GO:0071805;GO:0006813;GO:1990478;GO:0019233;GO:0050951
Q9Y6R1,GO:0016323;GO:0009986;GO:0070062;GO:0016020;GO:0005886;GO:0042802;GO:0008509;GO:0008510;GO:0005452;GO:0015293;GO:0015701;GO:0045821;GO:0051453;GO:0042391;GO:0036376;GO:0035725;GO:0006814;GO:0055085;GO:0150104
P35080,GO:0005737;GO:0005856;GO:0070062;GO:0098978;GO:0098794;GO:0098793;GO:0098685;GO:0003779;GO:0003785;GO:0016887;GO:0005546;GO:0098885;GO:0030837;GO:0010633;GO:1900028;GO:0032233;GO:0030838;GO:0032781;GO:0033138;GO:0051496;GO:0099140;GO:0099171;GO:0050821;GO:0030833;GO:2000300
Q0VD86,GO:0005737;GO:0016604;GO:0005654;GO:0005634;GO:0030332;GO:0004861;GO:0042802;GO:0044877;GO:0097190;GO:0048144;GO:0008285;GO:0045736;GO:0048147;GO:2001235
Q5U4P2,GO:0016020;GO:0051213
Q9ULQ0,GO:0005737;GO:0005829;GO:0090443;GO:0016477;GO:0007010;GO:0008360
Q13508,GO:0070062;GO:0005576;GO:0005886;GO:0098552;GO:0003950;GO:0106274;GO:0016779
P18509,GO:0005576;GO:0005615;GO:0043005;GO:0043204;GO:0005184;GO:0051428;GO:0016521;GO:0005102;GO:0031891;GO:0031892;GO:0007190;GO:0007189;GO:0007188;GO:0007267;GO:0007565;GO:0030073;GO:0045786;GO:0031175;GO:0007218;GO:0071651;GO:0120162;GO:0007204;GO:0070374;GO:0060124;GO:0043547;GO:0045860;GO:0045944;GO:0008277;GO:0032880
O15131,GO:0005829;GO:0042564;GO:0005654;GO:0005634;GO:0061608;GO:0008139;GO:0006607;GO:0006606
Q5T655,GO:0005813;GO:0005737;GO:0005856;GO:0005615;GO:0036126;GO:0097225;GO:0060271;GO:0030317;GO:0007219;GO:0120229;GO:0007288;GO:0120316;GO:0120317
Q9Y5I7,GO:0005923;GO:0005886;GO:0070160;GO:0042802;GO:0015095;GO:0160187;GO:0030165;GO:0005198;GO:0070830;GO:0016338;GO:0007155;GO:0010496;GO:0030003;GO:0030001;GO:0160184;GO:0070293
Q6P499,GO:0016020;GO:0015095;GO:0015693
Q9NWB1,GO:0005737;GO:0010494;GO:0097165;GO:0005634;GO:0005802;GO:0003729;GO:0003723;GO:0006397;GO:0007399;GO:0000381;GO:0008380;GO:0050658
P27144,GO:0005737;GO:0005759;GO:0005739;GO:0047506;GO:0004017;GO:0005524;GO:0036430;GO:0036431;GO:0005525;GO:0004550;GO:0050145;GO:0046899;GO:0006172;GO:0046033;GO:0046034;GO:0071456;GO:0046039;GO:0015949;GO:0009142;GO:0002082;GO:0009188
Q15760,GO:0005929;GO:0005886;GO:0004930;GO:0007186
Q8TF21,GO:0005886;GO:0032420;GO:0003779;GO:0060088;GO:0007605
Q96MM7,GO:0000139;GO:0017095;GO:0015015
Q4G0M1,GO:0005576;GO:0005615;GO:0005179;GO:0042802;GO:0051649;GO:0015908;GO:0006879;GO:0043066;GO:0010507;GO:0045721;GO:0045668;GO:0045671;GO:0046326;GO:2000193;GO:0046628;GO:0051897;GO:0019217
Q9C0H6,GO:0034451;GO:0031463;GO:0005737;GO:0015630;GO:0003779;GO:1990756;GO:0043161
Q7RTT9,GO:0016324;GO:0016323;GO:0005886;GO:0098793;GO:0015562;GO:0008504;GO:0008324;GO:0005326;GO:0005337;GO:0005342;GO:0015101;GO:0019534;GO:0042910;GO:0032238;GO:1990748;GO:0015872;GO:0090494;GO:0048241;GO:0051625;GO:0140115;GO:0001692;GO:0051608;GO:0051615;GO:0015844;GO:0098655;GO:0006836;GO:0015874;GO:0051620;GO:1903825;GO:0015695;GO:0006837;GO:0051610;GO:0150104;GO:0042908
P43004,GO:0097449;GO:0030673;GO:0044297;GO:0009986;GO:0098978;GO:0016020;GO:0098796;GO:0045121;GO:0044306;GO:0005886;GO:0042734;GO:0031982;GO:0033229;GO:0015501;GO:0005314;GO:0005313;GO:0046872;GO:0008509;GO:0015175;GO:0030534;GO:0071314;GO:0007268;GO:0070779;GO:0006750;GO:0140009;GO:0070778;GO:0098712;GO:0015813;GO:0006811;GO:0035264;GO:0098810;GO:0006836;GO:0046326;GO:0070207;GO:0043200;GO:0009611;GO:0009410;GO:0021537;GO:0070633;GO:0150104;GO:0007632
Q13326,GO:0005737;GO:0005856;GO:0005886;GO:0016012;GO:0042383;GO:0048738;GO:0010467;GO:0060047;GO:0007517
A0A087X179,GO:0005886;GO:0005096
Q96JK4,GO:0005576;GO:0016020
Q6Q6R5,GO:0005737;GO:0046872
A6PVS8,
A0A1B0GTI8,GO:0016020
P22352,GO:0070062;GO:0005576;GO:0005615;GO:0004602;GO:0042802;GO:0008430;GO:0042744;GO:0006982
Q13618,GO:0005813;GO:0031463;GO:0005737;GO:0005829;GO:0070062;GO:0098978;GO:0005794;GO:0016020;GO:0072686;GO:0005654;GO:0005634;GO:0005886;GO:0005827;GO:0098794;GO:0036126;GO:0000922;GO:0030332;GO:0042802;GO:0005112;GO:0031208;GO:0160072;GO:0061630;GO:0031625;GO:0031145;GO:0016477;GO:0030030;GO:0071230;GO:0034599;GO:0048208;GO:0040016;GO:0006888;GO:0044346;GO:0000082;GO:0007369;GO:0010467;GO:0006954;GO:0007229;GO:0097193;GO:0001822;GO:0072576;GO:0007080;GO:0035024;GO:0000122;GO:0032480;GO:0071630;GO:0008284;GO:0032467;GO:1901992;GO:0045842;GO:0031398;GO:1904263;GO:0043161;GO:0051865;GO:0031648;GO:0070936;GO:0006513;GO:0000209;GO:0016567;GO:1900076;GO:0140252;GO:0017145;GO:0043149;GO:0001831;GO:0006511;GO:0016055
Q9BY08,GO:0005783;GO:0005789;GO:0047750;GO:0016125
Q8NCV1,GO:0005737;GO:0005730;GO:0005634;GO:0004000;GO:0003726;GO:0003725;GO:0008251;GO:0006382;GO:0006396;GO:0007286
Q9H305,GO:0098560;GO:0098574;GO:0005634;GO:0008270;GO:0042771
Q8TDI0,GO:0000785;GO:0005829;GO:0000792;GO:0016020;GO:0016607;GO:0005654;GO:0005634;GO:0016581;GO:0005524;GO:0016887;GO:0140658;GO:0140849;GO:0140665;GO:0003682;GO:0140584;GO:0061775;GO:0003677;GO:0003689;GO:0036121;GO:0061749;GO:0009378;GO:0061628;GO:0042393;GO:0046872;GO:1990518;GO:0021895;GO:0006338;GO:0008285;GO:1901798;GO:0006357;GO:0035092
Q9UGV2,GO:0005737;GO:0070062;GO:0030154;GO:0030308;GO:0007165;GO:0007283
